Tier,Question,Target_Tag,Exact_Chunk_Match,Chunk_Rank,Semantic_Chunk_Hit,Best_Chunk_Similarity,Num_Papers,Multi_Paper_Match,Paper_Recall,Paper_Precision,Answer_Similarity,Papers,Latency
1,What physical quantity is the controller changing (the actua...,liquid lenses,True,1,,,2,,1.0,0.5,0.226,Zhang et al. | Rebuffi et al.,16.6
1,Which classic search methods are used as baselines in the DR...,autofocus,True,1,,,2,,1.0,0.5,0.437,Zhang et al. | Rebuffi et al.,19.39
1,What is the main objective of 'adaptive scanning' compared t...,ptychography,True,1,,,1,,1.0,1.0,0.636,Schloz et al.,31.42
1,What does the metric QSSIM represent in the ptychography eva...,ptychography,True,1,,,2,,1.0,0.5,0.373,Morris et al. | Schloz et al.,10.48
1,What are the discrete actions available to the agent (action...,alignment,True,1,,,3,,1.0,0.333,0.22,Rebuffi et al. | Kuprikov et al.,18.03
1,What are the two main limitations of a well-tuned integrator...,optics,True,1,,,2,,1.0,0.5,0.378,Kuprikov et al. | Nousiainen et al.,26.97
2,"List the reward hyperparameters (e.g., alpha, beta, mu, delt...",autofocus,True,1,,,2,,1.0,0.5,0.552,Zhang et al. | Rebuffi et al.,51.59
2,What are the two action-set designs in the DRL autofocus pap...,autofocus,True,1,,,2,,1.0,0.5,0.347,Zhang et al. | Rebuffi et al.,53.17
2,What is the reported speed improvement versus a named baseli...,autofocus,True,1,,,2,,1.0,0.5,0.485,Zhang et al. | Rebuffi et al.,26.31
2,"What are the ROP reconstruction settings (batch size, step s...",ptychography,True,1,,,2,,1.0,0.5,0.642,Kandel et al. | Schloz et al.,34.39
2,Summarize the encoder/feature-extractor architecture used to...,ptychography,True,1,,,3,,1.0,0.333,0.283,Morris et al. | Kandel et al.,14.29
2,From the main hyperparameter table in the AO RL paper: what ...,optics,True,1,,,1,,1.0,1.0,0.652,Nousiainen et al.,62.83
3,"How does FAST define 'scanning efficiency,' and in what way ...",FAST,True,1,,,2,True,1.0,0.5,0.616,Kandel et al. | Morris et al.,34.11
3,Why might discretizing the action space improve stability or...,autofocus,True,1,,,2,True,1.0,0.5,0.457,Zhang et al. | Kuprikov et al.,33.39
3,The ptychography paper uses a particular discount factor set...,ptychography,True,2,,,2,True,1.0,0.5,0.553,Schloz et al. | Morris et al.,15.91
3,Where does the exploration–exploitation trade-off appear in ...,FAST,True,1,,,3,True,1.0,0.333,0.634,Kandel et al. | Volk and Abolhasani,53.33
